State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
Alabama,17500,6800,77600,59500,435400,100,100,0,0,4129300,127400,28000
Alaska,3400,1100,12100,10600,46800,0,0,0,0,460800,30200,5100
Arizona,111200,29300,202200,75500,429300,500,700,0,0,5479600,198400,60200
Arkansas,9500,3800,44500,39700,272900,200,0,0,0,2265200,91400,10000
California,1533900,447100,1895100,217000,1309800,10000,1500,16900,0,31251600,737900,7900
Colorado,127000,48700,171200,72900,326400,300,100,0,0,4501600,200300,45500
Connecticut,39400,22500,85200,11900,130500,100,0,0,0,2572400,40500,20200
Delaware,11100,4600,26400,5500,62900,0,0,0,0,790600,13900,5000
District of Columbia,10100,4300,19300,500,16200,100,0,0,0,255300,1800,500
Florida,334800,70400,499300,188100,1079800,400,100,0,0,16122400,352800,94400
Georgia,120000,26400,206300,101500,705700,300,200,0,0,8261200,205900,74900
Hawaii,29900,8700,40000,3700,35800,0,0,0,0,944100,15300,3600
Idaho,11000,5600,50200,51000,134200,100,100,0,0,1595100,141200,30400
Illinois,125500,40400,325700,66400,758800,300,0,0,0,8571800,169000,67800
Indiana,34600,15300,135000,60200,570400,300,0,0,0,5186300,154900,57600
Iowa,11700,7300,65600,44500,326400,100,0,0,0,2556700,105400,56800
Kansas,14500,6600,57700,30300,250700,200,100,0,0,2186000,87600,15300
Kentucky,15000,6400,75600,40200,352100,300,0,0,0,3358000,115600,22100
Louisiana,11600,4600,49600,68000,371400,100,0,0,0,3142700,115400,18500
Maine,9700,9200,38200,13200,102300,0,0,0,0,1048000,26900,8500
Maryland,94900,36600,191800,33600,297500,200,0,0,0,4261500,84800,31000
Massachusetts,91100,52200,212900,23100,279600,200,0,0,0,4789300,56500,29900
Michigan,75800,33600,179300,76200,864700,300,0,0,0,7131900,173400,49300
Minnesota,47400,20100,143300,56700,508000,100,0,0,0,4259000,126800,24200
Mississippi,4900,2400,34400,37700,291400,100,0,0,0,2272700,75000,8200
Missouri,34200,16800,132100,76500,570100,800,100,0,0,4682900,176400,36600
Montana,5600,3200,24700,41100,91800,0,0,0,0,792500,68900,10800
Nebraska,9100,4700,37900,31100,195000,100,0,0,0,1610600,76200,24900
Nevada,65600,13400,81600,29300,123200,200,100,0,0,2187600,86100,19900
New Hampshire,12700,8200,42500,14700,86900,100,0,0,0,1194400,28700,12400
New Jersey,173800,51600,205200,29900,387500,300,0,0,0,6460100,82400,35600
New Mexico,13000,5800,50500,35000,148600,100,100,0,0,1592600,88200,22000
New York,168100,111400,361000,59200,577800,300,0,0,0,9824900,148000,78600
North Carolina,91000,28300,248200,88300,641200,300,100,0,0,7803000,209400,69900
North Dakota,1300,1000,10100,21800,88100,0,0,0,0,631700,45000,6900
Ohio,69400,29700,233900,76300,824400,600,100,0,0,8894800,195500,60300
Oklahoma,22600,34300,73000,65900,343200,1700,200,0,0,3506700,146500,44000
Oregon,78400,33200,171400,59600,183100,100,100,0,0,3059000,216000,49300
Pennsylvania,89900,47600,288100,76200,646000,500,0,0,0,8866100,191400,39800
Rhode Island,8300,6000,25300,3500,41200,0,0,0,0,771500,10800,5500
South Carolina,26800,11100,99100,49300,399800,100,100,0,0,4372500,111400,44500
South Dakota,2300,1700,14700,24400,103200,0,0,0,0,765600,54600,13500
Tennessee,42600,12800,131600,58800,503400,100,100,0,0,5652900,162000,36100
Texas,294700,64700,538900,493800,2267600,1300,1200,0,0,21601400,773300,118400
Utah,52200,15500,96000,74700,183000,2000,500,0,0,2529000,161300,25900
Vermont,10200,6900,22200,7400,35000,0,0,0,0,486200,14300,4900
Virginia,107400,32100,262000,48200,475400,300,0,0,0,6707000,152500,29100
Washington,191400,48500,336500,79100,330900,100,100,0,0,5528500,272100,44100
West Virginia,3800,2200,26600,18700,120500,100,0,0,0,1285900,46500,16600
Wisconsin,32300,15100,141200,57400,528500,300,0,0,0,4621700,147300,26300
Wyoming,1500,1000,9800,22900,58400,0,0,0,0,498300,61300,13700
