Month,BEV,PHEV,HEV,Total-LDV
Dec-10,19,326,"28,592","1,144,840"
Jan-11,103,321,"19,540","819,938"
Feb-11,83,281,"23,306","993,535"
Mar-11,298,608,"34,533","1,246,668"
Apr-11,573,493,"25,602","1,157,928"
May-11,"1,150",481,"17,419","1,061,841"
Jun-11,"1,708",561,"12,655","1,053,414"
Jul-11,932,125,"19,621","1,059,730"
Aug-11,"1,363",302,"21,181","1,072,379"
Sep-11,"1,031",723,"17,625","1,053,761"
Oct-11,866,"1,108","20,057","1,021,185"
Nov-11,773,"1,139","26,110","994,786"
Dec-11,"1,212","1,529","31,100","1,243,784"
Jan-12,824,603,"21,779","913,284"
Feb-12,639,"1,023","36,222","1,149,432"
Mar-12,961,"3,200","48,206","1,404,623"
Apr-12,479,"3,116","39,901","1,184,567"
May-12,612,"2,766","37,184","1,334,642"
Jun-12,863,"2,455","34,558","1,285,499"
Jul-12,479,"2,537","31,611","1,153,759"
Aug-12,866,"3,878","38,369","1,285,292"
Sep-12,"1,306","4,503","34,836","1,188,899"
Oct-12,"2,240","4,994","33,290","1,092,294"
Nov-12,"2,614","4,544","35,002","1,143,916"
Dec-12,"2,704","4,965","43,690","1,356,070"
Jan-13,"2,372","2,354","34,611","1,043,238"
Feb-13,"2,666","2,789","40,173","1,192,299"
Mar-13,"4,553","3,079","46,327","1,453,038"
Apr-13,"4,403","2,735","42,804","1,285,446"
May-13,"4,545","3,209","48,796","1,443,311"
Jun-13,"4,573","4,169","44,924","1,403,121"
Jul-13,"3,943","3,499","45,494","1,313,844"
Aug-13,"4,956","6,407","53,020","1,501,294"
Sep-13,"3,650","4,477","33,576","1,137,206"
Oct-13,"3,733","6,367","33,570","1,206,182"
Nov-13,"3,930","4,903","36,085","1,243,852"
Dec-13,"4,770","5,020","36,155","1,358,734"
Jan-14,"2,971","2,934","27,555","1,011,187"
Feb-14,"3,324","3,721","30,561","1,192,467"
Mar-14,"4,578","4,594","43,790","1,537,270"
Apr-14,"4,187","4,718","39,430","1,391,303"
May-14,"5,802","6,651","52,227","1,609,678"
Jun-14,"4,982","6,511","39,225","1,421,963"
Jul-14,"5,693","5,740","44,488","1,435,805"
Aug-14,"6,483","5,920","48,208","1,586,374"
Sep-14,"5,983","3,357","31,385","1,245,786"
Oct-14,"5,927","3,735","30,892","1,281,132"
Nov-14,"6,176","3,609","31,109","1,302,655"
Dec-14,"7,419","3,867","33,302","1,507,928"
Jan-15,"3,977","2,113","25,312","1,152,480"
Feb-15,"4,435","2,589","27,038","1,258,570"
Mar-15,"5,715","3,020","33,654","1,545,710"
Apr-15,"6,037","2,962","32,379","1,455,242"
May-15,"7,057","4,416","40,257","1,634,952"
Jun-15,"6,975","3,409","32,330","1,476,472"
Jul-15,"5,143","3,836","35,666","1,510,941"
Aug-15,"5,224","3,786","37,633","1,577,179"
Sep-15,"6,704","3,038","32,106","1,442,113"
Oct-15,"5,740","4,081","30,485","1,455,153"
Nov-15,"6,103","4,275","25,153","1,318,210"
Dec-15,"7,954","5,483","32,387","1,641,913"
Jan-16,"3,576","3,137","20,967","1,148,087"
Feb-16,"4,424","3,909","24,371","1,343,922"
Mar-16,"7,115","5,319","28,756","1,595,065"
Apr-16,"6,266","5,842","28,988","1,506,431"
May-16,"6,526","5,619","30,573","1,535,670"
Jun-16,"7,678","6,113","27,681","1,512,996"
Jul-16,"7,762","6,525","32,633","1,521,245"
Aug-16,"8,601","6,372","32,206","1,511,405"
Sep-16,"10,032","6,037","31,286","1,434,483"
Oct-16,"5,408","5,943","26,484","1,370,721"
Nov-16,"6,266","7,858","28,497","1,378,635"
Dec-16,"13,077","10,211","34,507","1,688,368"
Jan-17,"5,398","5,669","22,630","1,142,568"
Feb-17,"5,846","6,247","28,355","1,333,128"
Mar-17,"10,171","7,384","32,012","1,554,998"
Apr-17,"5,961","7,300","30,949","1,426,883"
May-17,"8,038","8,645","33,729","1,519,793"
Jun-17,"8,814","7,787","30,073","1,474,970"
Jul-17,"7,802","7,407","29,050","1,416,743"
Aug-17,"8,850","7,668","34,850","1,484,826"
Sep-17,"13,421","7,719","37,319","1,525,522"
Oct-17,"6,792","6,665","29,451","1,356,789"
Nov-17,"8,435","8,408","30,075","1,399,640"
Dec-17,"14,959","10,289","32,187","1,605,527"
Jan-18,"9,154","6,241","21,718","1,151,011"
Feb-18,"6,653","8,783","24,609","1,293,763"
Mar-18,"11,060","11,601","28,165","1,647,090"
Apr-18,"12,794","9,931","24,827","1,353,546"
May-18,"12,232","11,403","31,602","1,586,493"
Jun-18,"12,997","10,485","31,038","1,543,716"
Jul-18,"15,387","9,269","28,203","1,362,964"
Aug-18,"20,222","10,132","30,182","1,482,215"
Sep-18,"24,163","10,777","31,985","1,432,136"
Oct-18,"29,937","9,937","28,614","1,360,281"
Nov-18,"24,089","11,580","27,453","1,382,553"
Dec-18,"28,374","13,744","29,753","1,617,778"
Jan-19,"26,942","6,010","19,153","1,133,157"
Feb-19,"10,644","6,610","22,730","1,251,513"
Mar-19,"17,281","8,074","30,926","1,598,811"
Apr-19,"20,113","5,908","33,082","1,326,555"
May-19,"18,012","7,949","44,162","1,581,479"
Jun-19,"23,421","7,999","39,247","1,509,674"
Jul-19,"23,559","7,197","36,341","1,396,460"
Aug-19,"18,864","8,433","42,830","1,638,722"
Sep-19,"21,812","5,816","29,848","1,267,150"
Oct-19,"23,072","6,388","32,457","1,333,995"
Nov-19,"11,421","7,733","32,962","1,403,153"
Dec-19,"18,681","7,674","35,706","1,512,243"
Jan-20,"26,391","5,104","27,166","1,136,560"
Feb-20,"11,151","6,111","32,309","1,350,570"
Mar-20,"18,234","3,481","23,591","989,954"
Apr-20,"8,058","2,015","14,268","715,322"
May-20,"8,626","3,911","27,740","1,119,089"
Jun-20,"16,809","4,206","41,590","1,101,169"
Jul-20,"23,075","5,228","43,738","1,236,643"
Aug-20,"17,291","6,478","42,191","1,318,070"
Sep-20,"28,101","6,670","43,293","1,341,099"
Oct-20,"29,959","7,755","47,611","1,358,922"
Nov-20,"22,225","7,369","47,724","1,199,137"
Dec-20,"28,620","10,721","63,846","1,605,497"
Jan-21,"25,103","7,463","46,843","1,106,286"
Feb-21,"26,215","9,046","54,045","1,193,776"
Mar-21,"40,755","12,261","78,123","1,597,152"
Apr-21,"33,547","18,604","76,397","1,518,415"
May-21,"29,796","20,807","82,511","1,570,313"
Jun-21,"45,913","16,648","65,960","1,302,213"
Jul-21,"42,013","15,669","74,298","1,280,803"
Aug-21,"35,499","14,067","67,976","1,092,661"
Sep-21,"42,020","12,554","60,102","1,015,935"
Oct-21,"42,485","18,275","63,482","1,051,015"
Nov-21,"46,687","14,170","59,326","1,014,411"
Dec-21,"49,441","16,553","69,983","1,203,993"
Jan-22,"42,780","11,983","63,093","991,573"
Feb-22,"46,859","12,563","58,175","1,045,624"
Mar-22,"64,160","16,200","76,683","1,257,821"
Apr-22,"52,537","17,875","71,849","1,236,432"
May-22,"52,502","15,263","68,737","1,108,063"
Jun-22,"74,262","14,838","61,039","1,143,820"
Jul-22,"64,310","13,932","59,229","1,126,523"
Aug-22,"59,836","13,797","58,869","1,134,265"
Sep-22,"69,811","13,415","55,892","1,124,297"
Oct-22,"71,739","17,603","66,661","1,181,540"
Nov-22,"69,924","16,183","57,086","1,135,484"
Dec-22,"79,262","19,759","69,099","1,268,897"
Jan-23,"72,944","15,593","60,069","1,046,919"
Feb-23,"81,158","17,789","66,320","1,138,756"
Mar-23,"92,077","21,397","94,289","1,374,992"
Apr-23,"92,880","24,165","100,528","1,357,844"
May-23,"95,898","25,125","103,832","1,363,818"
Jun-23,"102,525","22,560","100,762","1,368,713"
Jul-23,"101,234","23,194","103,757","1,299,271"
Aug-23,"96,091","27,497","107,325","1,318,588"
Sep-23,"113,383","28,807","109,228","1,340,980"
Oct-23,"92,478","21,778","103,699","1,198,162"
Nov-23,"102,323","24,530","108,549","1,235,583"
Dec-23,"121,647","41,143","117,098","1,458,853"
Jan-24,"82,336","25,086","91,929","1,070,527"
Feb-24,"74,141","27,167","105,933","1,228,996"
Mar-24,"96,743","32,728","123,870","1,432,132"
Apr-24,"99,313","26,263","118,822","1,317,481"
May-24,"107,423","26,777","139,053","1,431,081"
Jun-24,"100,242","23,635","135,609","1,308,997"
Jul-24,"113,327","23,172","134,073","1,285,711"
Aug-24,"118,961","26,413","150,630","1,412,345"
Sep-24,"104,977","20,789","127,486","1,171,666"
Oct-24,"98,289","26,264","150,683","1,331,769"
Nov-24,"114,564","29,743","160,025","1,373,493"
Dec-24,"133,103","30,687","170,935","1,494,220"
Jan-25,"94,035","22,160","133,489","1,106,120"
Feb-25,"86,040","22,804","148,162","1,215,074"
Mar-25,"120,820","37,376","194,998","1,593,017"
Apr-25,"96,348","32,865","190,169","1,463,622"
May-25,"101,750","26,900","193,411","1,461,067"
Jun-25,"92,514","18,255","154,889","1,253,028"
Jul-25,"125,466","21,138","167,183","1,388,659"
Aug-25,"148,769","26,004","181,048","1,467,250"
Sep-25,"140,579","20,040","150,988","1,241,581"
Oct-25,"83,292","12,441","173,481","1,281,615"
